book,genre,store,date,sale
"I Never Promised You a Rose Garden","Autobiographical novel",Aalborg,2005-07-31,76
"Seventeenth Summer","Young adult literature",Holstebro,2005-12-25,25
"Before Midnight",Mystery,Slagelse,2005-07-09,90
"The Pothunters","Children's literature",Maribo,2005-02-11,32
Titan,"Science Fiction",Copenhagen,2005-05-23,42
"The Wild Swans","Children's literature",Nakskov,2005-12-14,55
Out,"Crime Fiction","Helsingør",2005-04-22,61
"Deep Secret","Science Fiction","Hjørring",2005-01-10,93
"A Letter of Mary",Mystery,Aarhus,2005-05-04,68
"Dear Enemy",Mystery,Randers,2005-09-08,40
"The Art of Fielding","Literary fiction",Herning,2005-05-07,35
"The Turquoise",History,Viborg,2005-08-22,7
"The Dark Crusader",Thriller,Maribo,2005-11-25,31
"Darwin's Radio","Science Fiction",Thisted,2005-05-05,66
"The Wizard of Oz",Play,Aabenraa,2005-11-07,14
"The Deep","Children's literature","Nykøbing Falster",2005-08-31,35
Excession,"Science Fiction",Svendborg,2005-03-03,24
"The Financier",Reference,"Køge",2005-12-24,13
"Evil Genius","Science Fiction",Vejle,2005-06-22,24
"The Night of Wishes","Speculative fiction",Herning,2005-07-24,35
"Diary of a Wimpy Kid",Comedy,Ribe,2005-07-22,13
Wiseguy,"Crime Fiction",Silkeborg,2005-01-05,20
"Star Wars Republic Commando: Hard Contact","Science Fiction",Aabenraa,2005-12-03,84
"In the Lake of the Woods",Mystery,Thisted,2005-02-08,66
"The Super Barbarians","Science Fiction","Hillerød",2005-06-17,55
"The Moth Diaries","Children's literature","Køge",2005-06-15,98
"Fat Cat","Young adult literature",Kolding,2005-05-17,66
"Faerie Tale","Speculative fiction",Aarhus,2005-09-29,59
"Sixth Column","Science Fiction",Gentofte,2005-11-15,65
"Murder on the Orient Express","Crime Fiction",Maribo,2005-01-13,60
"Keep on the Shadowfell","Role-playing game","Hillerød",2005-01-10,22
"The Serpent",Fantasy,Randers,2005-10-24,45
"Conan: Scourge of the Bloody Coast","Sword and sorcery",Esbjerg,2005-03-24,32
Queer,Novel,Frederikshavn,2005-05-28,80
"Descent into the Depths of the Earth","Role-playing game","Nørresundby",2005-08-20,49
Roderick,"Science Fiction",Esbjerg,2005-08-11,14
Deerskin,Fantasy,"Nørresundby",2005-07-19,68
"Señor Vivo and the Coca Lord","Speculative fiction",Thisted,2005-11-25,77
"A Clergyman's Daughter",Novel,Vejle,2005-05-27,7
Daemon,Techno-thriller,Svendborg,2005-07-06,17
"Creature of the Night","Children's literature",Frederiksberg,2005-12-11,23
"The John Riddell Murder Case",Parody,Skagen,2005-02-27,8
"Aggressor Six","Science Fiction",Holstebro,2005-01-30,15
"The Undying Land","Lost World",Frederiksberg,2005-01-03,83
"Timewyrm: Genesys","Speculative fiction","Køge",2005-07-26,6
"The Horse and His Boy","Speculative fiction","Holbæk",2005-09-24,7
"Rage: A Love Story","Young adult literature",Kalundborg,2005-05-24,96
"The Novice","Speculative fiction","Sorø",2005-04-24,40
"The Garden of Rama","Science Fiction","Tønder",2005-08-05,96
"People of the Book","Historical fiction",Esbjerg,2005-06-22,88
"Taran Wanderer","Children's literature",Aabenraa,2005-08-31,74
"My Inventions: The Autobiography of Nikola Tesla",Autobiography,Vordingborg,2005-02-25,36
"Aggressor Six","Science Fiction",Aabenraa,2005-01-30,93
"Breakfast in the Ruins","Science fantasy",Haderslev,2005-11-07,43
"Vittorio the Vampire","Speculative fiction",Aalborg,2005-12-17,58
"Placebo Effect","Science Fiction",Copenhagen,2005-03-03,91
"Angel Light","Speculative fiction","Hillerød",2005-09-13,76
"The Killing Joke",Mystery,Esbjerg,2005-05-06,66
On,"Science Fiction",Slagelse,2005-11-10,90
"The Evil Experiment","Science Fiction",Kolding,2005-01-04,88
Anthem,Psychology,"Sorø",2005-09-27,32
"Journeys to the End of the World",Novel,Vejle,2005-10-11,79
"The Independent Command","Science Fiction",Esbjerg,2005-03-15,78
"Open House",Fiction,Haderslev,2005-03-23,36
"The Golden Lily","Urban fantasy",Nakskov,2005-07-02,93
"Against a Dark Background","Science Fiction",Roskilde,2005-08-24,95
"Freddy Goes to Florida","Children's literature","Køge",2005-02-26,97
"Incubus Dreams",Fantasy,Vejle,2005-09-25,54
"The Ticket That Exploded","Speculative fiction",Vejle,2005-10-06,70
"Last Bus to Woodstock","Crime Fiction",Aalborg,2005-05-27,46
Dragonquest,"Science Fiction",Herning,2005-07-21,50
"Heir to the Empire","Science Fiction",Kolding,2005-03-03,76
"None But Lucifer","Speculative fiction","Køge",2005-08-08,46
"The Haunted Fort",Mystery,"Nørresundby",2005-08-25,77
"In Desert and Wilderness","Young adult literature",Horsens,2005-01-26,50
"Shadows on the Rock","Children's literature",Nakskov,2005-10-24,57
"The Haunted Woman",Fantasy,Aarhus,2005-03-16,52
"The Second Confession",Mystery,Kolding,2005-12-04,32
"Buckskin Brigades","Western fiction","Hjørring",2005-05-19,22
"The Coffin Dancer","Crime Fiction",Odense,2005-05-08,86
"Fire on the Water",Gamebook,Aalborg,2005-03-21,67
Angelology,Thriller,Slagelse,2005-11-24,64
"Nimitz Class",Thriller,"Helsingør",2005-12-22,29
"Count Karlstein","Speculative fiction",Holstebro,2005-05-05,68
"A Man in Full",Fiction,Maribo,2005-08-07,11
"Palace Walk",Novel,"Helsingør",2005-01-16,48
"Murder in the Submarine Zone",Mystery,"Hjørring",2005-07-24,91
Airhead,"Young adult literature",Holstebro,2005-12-04,73
"Rendezvous with Rama","Hard science fiction",Ribe,2005-01-01,70
"The Sword of the Lady","Alternate history",Skagen,2005-03-25,32
"Free Culture: How Big Media Uses Technology and the Law to Lock Down Culture and Control Creativity",Non-fiction,"Køge",2005-10-28,51
"Passionate Minds: The Great Love Affair of the Enlightenment, Featuring the Scientist Emilie du Chatelet, the Poet Voltaire, Sword Fights, Book Burnings, Assorted Kings, Seditious Verse, and the Birth of the Modern World",Novel,Thisted,2005-08-08,76
"The Optimists",Prose,Fredericia,2005-01-25,51
"The Golden Lily","Urban fantasy",Nakskov,2005-07-13,5
"When You Are Engulfed in Flames",Anthology,Horsens,2005-09-17,79
"Woman on the Edge of Time","Science Fiction",Randers,2005-09-13,15
"Divine Misdemeanors",Fantasy,Viborg,2005-02-11,91
"Cat's Eye","Speculative fiction",Frederiksberg,2005-02-19,58
Hex,"Science Fiction","Sorø",2005-08-09,50
"The Dreaming Void","Science Fiction",Slagelse,2005-12-15,44
"The Black Corsair","Adventure novel","Helsingør",2005-06-25,14
"Captain's Fury","Speculative fiction",Viborg,2005-05-10,11
"The Adventures of Mao on the Long March",Collage,Ribe,2005-05-31,18
"The Wonderful Country",Fiction,Aalborg,2005-05-21,74
"Inspector Ghote Hunts the Peacock",Mystery,Esbjerg,2005-12-28,44
"The Olympic Conspiracy","Speculative fiction",Odense,2005-10-19,77
"Las películas de mi vida","Autobiographical novel","Tønder",2005-03-10,67
"The Court of a Thousand Suns","Science Fiction",Esbjerg,2005-09-30,41
"The Story of Miss Moppet","Children's literature",Aalborg,2005-04-12,35
"Funeral Games","Historical novel",Silkeborg,2005-03-15,51
"Emotional Chemistry","Speculative fiction",Esbjerg,2005-04-05,78
"Now, Now, Markus","Children's literature",Aarhus,2005-06-10,8
"Irish Cream",Mystery,Viborg,2005-01-05,62
"The Pigman","Children's literature",Randers,2005-07-25,59
"Dark Journey","Science Fiction","Tønder",2005-10-12,85
Q-Squared,"Science Fiction",Esbjerg,2005-10-13,21
"The Crimson Labyrinth",Novel,Holstebro,2005-12-22,79
"The Arm of the Starfish","Science Fiction",Nakskov,2005-06-18,63
"The Ragged Trousered Philanthropists",Fiction,Nyborg,2005-03-18,55
"Ghost Tower of Inverness","Role-playing game",Aarhus,2005-10-05,47
"The Shield Ring","Speculative fiction","Sønderborg",2005-03-30,52
"Vintage Season","Science Fiction",Aarhus,2005-11-08,96
"The Children's Bach",Novel,Aarhus,2005-07-01,89
"The Dosadi Experiment","Science Fiction",Ribe,2005-10-21,96
Partisans,"War novel",Aabenraa,2005-09-22,60
"Brat Farrar","Crime Fiction","Sorø",2005-03-02,68
"Code of the Lifemaker","Science Fiction",Haderslev,2005-07-26,95
Nightjohn,"Young adult literature","Sorø",2005-09-16,47
Timeliner,"Science Fiction","Hillerød",2005-08-29,61
Legend,"Speculative fiction","Nørresundby",2005-10-02,39
"The Sweetness at the Bottom of the Pie",Mystery,Ribe,2005-06-11,58
Witness,"Historical fiction",Svendborg,2005-08-02,87
"The Haunted Fort",Mystery,Viborg,2005-11-03,94
Clockers,"Crime Fiction",Skagen,2005-02-13,35
"Sector 7","Picture book",Nakskov,2005-10-10,73
"The Rithian Terror","Science Fiction",Slagelse,2005-06-28,47
"The Blind Assassin",Fiction,Herning,2005-10-12,27
"The Iron Tree",Fantasy,Copenhagen,2005-07-24,88
"Behind the Crimson Blind",Mystery,Svendborg,2005-03-10,61
Eva,"Science Fiction",Fredericia,2005-04-06,64
"Conan the Warrior",Fantasy,Odense,2005-12-20,97
"Children of the Atom","Science Fiction","Nørresundby",2005-10-03,27
"Worldwar: In the Balance","Alternate history",Silkeborg,2005-01-04,6
"A Million Little Pieces","Speculative fiction",Gentofte,2005-10-22,12
"The Man Who Awoke","Science Fiction","Tønder",2005-07-13,51
"The Blind Assassin",Fiction,Thisted,2005-11-17,96
"The Flame and the Flower","Colonial United States romance",Aabenraa,2005-08-09,49
"Sons of the Oak","Speculative fiction",Esbjerg,2005-10-11,28
Doppelganger,"Speculative fiction",Svendborg,2005-05-18,68
"The Private Life of Chairman Mao",Memoir,Skive,2005-06-07,94
"The Aquitaine Progression",Thriller,Frederikshavn,2005-06-10,44
"My Uncle Oswald","Speculative fiction","Hjørring",2005-04-09,9
"Isle of View","Children's literature",Horsens,2005-03-23,22
"...And Now Miguel","Children's literature",Kalundborg,2005-02-16,54
"Hunger of Memory: The Education of Richard Rodriguez",Autobiography,"Nørresundby",2005-04-23,42
"Crocodile on the Sandbank",Mystery,Thisted,2005-01-06,30
"The Summoned","Speculative fiction",Ribe,2005-12-26,76
"The Prophecy","Science Fiction",Aarhus,2005-04-15,80
Necropolis,"Gothic fiction",Nyborg,2005-11-20,47
"Quite Ugly One Morning","Crime Fiction","Helsingør",2005-10-22,17
"The Incredible Tide","Science Fiction",Aarhus,2005-08-19,93
"The Strange Case of Dr Jekyll and Mr Hyde","Science Fiction",Nakskov,2005-12-07,32
"Esio Trot","Speculative fiction",Copenhagen,2005-11-28,93
"Religion Inc.",Non-fiction,Svendborg,2005-01-05,21
"The Last Victim","True crime",Kalundborg,2005-07-14,77
"The Deep Blue Good-by","Crime Fiction",Fredericia,2005-05-31,35
"Lonesome Dove",Fiction,Gentofte,2005-07-07,87
"The Heart of the Warrior","Science Fiction",Nyborg,2005-02-08,90
"City of Bones","Crime Fiction",Ribe,2005-04-05,36
Ekaterina,Fiction,Randers,2005-08-03,34
"Women in Love",Fiction,Odense,2005-12-12,39
"A Small Town in Germany",Thriller,Frederiksberg,2005-01-24,5
"Heart of Glass",Novel,Randers,2005-02-23,89
"An Imaginative Experience",Novel,Vejle,2005-01-24,6
"The Locked Room","Crime Fiction",Slagelse,2005-01-11,7
Betrayal,"Speculative fiction",Frederiksberg,2005-10-06,18
"Ordered to die: a history of the Ottoman army in the First World War",History,Slagelse,2005-12-18,49
"The Rhinemann Exchange","Spy fiction",Maribo,2005-03-16,58
"Unnatural Exposure","Crime Fiction",Esbjerg,2005-05-13,9
"Castle Rackrent",Fiction,Vejle,2005-12-12,40
"The Spanish Cape Mystery",Mystery,Aalborg,2005-03-19,60
"The Phantom Freighter",Mystery,Esbjerg,2005-11-29,34
"The Wind on the Moon","Children's literature",Haderslev,2005-02-08,59
"Operation Chaos","Alternate history",Svendborg,2005-11-20,69
Tracks,"Literary fiction","Hjørring",2005-02-18,18
"The Gods Themselves","Science Fiction",Herning,2005-07-04,90
"The Kill Artist",Thriller,Ribe,2005-12-20,63
"Christie Malry's Own Double-Entry",Dystopia,Vejle,2005-02-27,28
"Black Blade",Thriller,Fredericia,2005-10-03,19
"The High King","Children's literature","Helsingør",2005-06-07,77
"The Green Odyssey","Science Fiction",Frederikshavn,2005-03-16,57
"The Color of Water: A Black Man's Tribute to His White Mother",Non-fiction,Gentofte,2005-04-29,7
"An Elephant for Aristotle","Historical novel",Copenhagen,2005-10-27,55
"The Sinner",Thriller,Maribo,2005-09-09,47
"After Many a Summer","Speculative fiction",Horsens,2005-04-09,94
"Love & Sleep","Speculative fiction",Aalborg,2005-08-27,50
"Enchanted, Inc.","Chivalric romance",Slagelse,2005-09-04,72
"The Thief",Fantasy,Vejle,2005-05-01,91
"The House",Novel,Silkeborg,2005-08-15,35
Meadowsweet,"Historical novel","Hillerød",2005-01-08,31
"Sword Quest","Children's literature",Nyborg,2005-05-02,13
"The Fallen","Speculative fiction",Aarhus,2005-05-19,31
Kallocain,"Science Fiction",Horsens,2005-07-12,47
"The Far Hills",Novel,Gentofte,2005-01-01,7
"A Great and Terrible Beauty","Speculative fiction","Tønder",2005-12-05,17
"No Night is Too Long","Crime Fiction","Sorø",2005-03-30,97
Ttyl,"Young adult literature",Kolding,2005-07-02,31
"Conan the Swordsman",Fantasy,Gentofte,2005-02-11,92
"Red Thunder","Science Fiction","Køge",2005-05-02,23
"A Gentleman's Guide to Graceful Living",Novel,Aabenraa,2005-04-21,92
"Anino ng Kahapon",Novel,Vejle,2005-05-09,47
"In the Belly of the Bloodhound","Children's literature",Ribe,2005-08-19,20
Silverthorn,"Science Fiction",Svendborg,2005-01-17,16
Resistance,"Speculative fiction",Vejle,2005-09-28,92
Speak,"Children's literature",Kolding,2005-04-26,14
"Industrial Magic",Fantasy,Randers,2005-08-07,33
"In the Heat of the Night",Thriller,Frederiksberg,2005-06-12,60
"Main Street",Autobiography,Maribo,2005-08-12,14
"The Crime Wave at Blandings","Short story",Haderslev,2005-09-29,55
"The Widows of Eastwick",Novel,Odense,2005-08-09,29
Ernesto,Novel,"Nørresundby",2005-11-27,34
"The Man Who Would Be Queen","Popular science",Thisted,2005-09-29,8
Far-Seer,"Science Fiction",Maribo,2005-12-20,26
"The Jungle Pyramid",Mystery,Skagen,2005-05-12,52
"World of Ptavvs","Science Fiction",Fredericia,2005-05-02,49
"Divorcing Jack","Crime Fiction",Odense,2005-11-29,10
"Curious George Gets a Medal","Children's literature",Kalundborg,2005-10-09,34
"Vampire Hunter D Volume 1","Light novel",Holstebro,2005-09-11,82
"The Alchymist's Cat","Speculative fiction",Nyborg,2005-03-10,22
"Vespers in Vienna",Novel,Herning,2005-02-15,9
"Monster Planet","Speculative fiction","Nørresundby",2005-11-19,97
"Under the Green Star","Science Fiction",Fredericia,2005-01-02,95
"So Totally Emily Ebers","Children's literature",Roskilde,2005-11-02,30
"Buffalo Gals, Won't You Come Out Tonight","Speculative fiction",Horsens,2005-01-24,11
"A Cool Head","Crime Fiction","Holbæk",2005-10-28,80
"End time","Science Fiction","Holbæk",2005-08-08,77
"Everything on a Waffle","Children's literature",Nakskov,2005-09-22,80
"Dreams of Empire","Science Fiction",Roskilde,2005-12-15,48
"Abner & Me",Fantasy,"Hillerød",2005-06-28,75
"Lord John and the Hellfire Club",Novella,Vordingborg,2005-05-16,81
"Dealing with Dragons","Speculative fiction",Silkeborg,2005-04-26,74
"Democracy in America",Non-fiction,Herning,2005-06-14,90
"The Sight","Speculative fiction","Hillerød",2005-04-23,65
"Star Wars Republic Commando: Hard Contact","Science Fiction",Nyborg,2005-10-05,5
"Succubus on Top","Urban fantasy",Svendborg,2005-08-10,82
"La Cousine Bette",Novel,"Køge",2005-06-25,96
"Punk Farm","Children's literature",Skagen,2005-11-09,65
"The Diamond of Darkhold",Fantasy,Kolding,2005-03-12,90
"A Redwall Winter's Tale","Speculative fiction",Nakskov,2005-10-26,17
"Punk Farm","Children's literature",Skive,2005-01-15,58
"Candy: A Novel of Love and Addiction",Drama,Slagelse,2005-12-02,17
"Juma and the Magic Jinn","Picture book","Køge",2005-03-01,32
"The Well of Stars","Science Fiction","Holbæk",2005-11-14,81
"Cuckoo's Egg","Science Fiction",Kalundborg,2005-08-10,93
"After Image","Speculative fiction","Hjørring",2005-10-19,75
"Our Lady of the Assassins","Autobiographical novel",Frederiksberg,2005-11-01,98
"Acacia: The Sacred Band",Fantasy,Maribo,2005-11-10,75
Kalimantaan,"Speculative fiction",Randers,2005-05-21,51
"The Rat Race","Science Fiction","Køge",2005-10-09,95
"First Test","Children's literature",Silkeborg,2005-12-08,77
"The Smiling, Proud Wanderer",Wuxia,Herning,2005-06-28,5
"Miss Peregrine's Home for Peculiar Children","Children's literature",Randers,2005-02-24,56
It,"Speculative fiction","Sønderborg",2005-10-08,57
"Half Moon Investigations",Mystery,"Sønderborg",2005-07-04,19
"Doom 3: Maelstrom","Science Fiction",Frederiksberg,2005-12-27,33
"The Hero and the Crown","Speculative fiction","Hillerød",2005-12-03,92
"The Ethnic Cleansing of Palestine",History,Aabenraa,2005-10-04,73
"The Third Eye",Autobiography,"Nykøbing Falster",2005-09-09,65
"A Stranger in the Mirror",Fiction,"Nørresundby",2005-07-07,33
Shatterglass,"Children's literature",Copenhagen,2005-05-31,70
Heartless,Steampunk,Horsens,2005-01-31,21
"The House at Pooh Corner","Children's literature",Svendborg,2005-07-19,67
"My Lucky Star",Novel,"Nørresundby",2005-10-21,100
"The World of Nagaraj",Novel,"Holbæk",2005-07-23,13
"Carry On, Mr. Bowditch","Biographical novel","Hillerød",2005-06-26,55
"The Forests of Silence","Speculative fiction",Maribo,2005-08-27,88
"A Pattern of Roses","Children's literature","Hjørring",2005-12-22,88
Terrier,Fantasy,"Holbæk",2005-10-31,9
Shirley,"Social novel","Nykøbing Falster",2005-06-06,59
"Nine Princes in Amber","Speculative fiction",Vordingborg,2005-05-24,84
"The Wives of Bath",Fiction,Horsens,2005-03-26,35
"She Died a Lady",Mystery,Randers,2005-12-19,91
"The Joy Luck Club","Children's literature",Fredericia,2005-09-26,24
"The Mystery of the Chinese Junk",Mystery,Thisted,2005-04-22,99
"Krondor: The Assassins",Fantasy,Frederikshavn,2005-12-29,7
"There Should Have Been Castles",Comedy,Haderslev,2005-05-07,13
"The Camp of the Saints","Speculative fiction",Svendborg,2005-10-28,59
Vesper,Mystery,Ribe,2005-01-05,52
"A Person of Interest",Mystery,Skive,2005-04-27,94
"The Gift","Speculative fiction",Aabenraa,2005-10-29,35
"The Solution","Science Fiction",Roskilde,2005-03-01,9
"The Blue Sword","Children's literature",Nakskov,2005-03-23,18
Pandemia,"Apocalyptic and post-apocalyptic fiction",Kolding,2005-08-08,61
"Double Act","Children's literature",Aalborg,2005-03-25,24
Conan,Fantasy,Randers,2005-01-26,16
"Throne of Jade","Alternate history",Skagen,2005-12-12,99
"Pebble in the Sky","Science Fiction",Esbjerg,2005-07-24,57
"Gerald's Party","Crime Fiction",Haderslev,2005-10-15,13
"Charon's Landing",Techno-thriller,"Sorø",2005-05-14,10
"Gallows Hill","Speculative fiction",Nakskov,2005-06-19,41
"The Dark Triangle","Science Fiction",Slagelse,2005-08-04,98
"Men Like Gods","Science Fiction",Odense,2005-06-16,18
"The Cry of the Wolf","Children's literature",Kolding,2005-03-26,24
Mercury,"Science Fiction","Køge",2005-10-19,98
"King and Emperor","Alternate history",Slagelse,2005-05-28,68
Pamela,"Epistolary novel",Nyborg,2005-05-04,8
"In Search of Lost Time","Autobiographical novel",Frederikshavn,2005-12-01,58
Cosmopolis,Fiction,Horsens,2005-08-17,14
"Foreign Devils","Speculative fiction",Frederiksberg,2005-08-19,90
"Plain Truth","Crime Fiction","Tønder",2005-03-25,27
"The High King's Tomb","Speculative fiction",Aabenraa,2005-11-11,97
"The Girl Who Played with Fire",Thriller,Frederikshavn,2005-02-15,77
"The Heir of Redclyffe",Fiction,Skagen,2005-01-30,63
"A Certain Smile","Romance novel",Randers,2005-09-26,97
"Nude Men",Fiction,Nyborg,2005-02-28,10
"Mr. Monk Goes to the Firehouse",Mystery,Horsens,2005-02-12,83
"Lost in a Good Book","Alternate history",Randers,2005-10-07,52
"The Magnificent Ambersons",Fiction,Aarhus,2005-04-13,44
"L'Histoire de Juliette","Gothic fiction","Nykøbing Falster",2005-06-02,91
"The Chimney-sweeper's Boy","Crime Fiction",Thisted,2005-08-25,88
"The Positronic Man","Science Fiction",Herning,2005-01-20,70
Phantastes,"Speculative fiction","Køge",2005-01-14,97
"The Appeal",Thriller,Vejle,2005-05-07,54
"Isaac Asimov's Inferno","Science Fiction",Ribe,2005-12-13,42
"The Secret Magdalene","Alternate history",Aalborg,2005-09-12,47
"Blue at the Mizzen",Fiction,"Hillerød",2005-10-05,40
"Charlie Brown's Super Book of Questions and Answers",Encyclopedia,Herning,2005-07-17,51
"Have His Carcase",Mystery,Odense,2005-12-23,53
"Tom Swift in the Land of Wonders","Young adult literature",Fredericia,2005-09-29,41
"Havana Heat",Novel,Vejle,2005-07-30,56
"Enduring Love",Fiction,Roskilde,2005-05-17,25
"Car Trouble","Young adult literature",Roskilde,2005-12-15,80
"Blind Justice","Crime Fiction",Fredericia,2005-08-19,75
"Artemis Fowl",Fantasy,Holstebro,2005-09-08,16
"The Ends of the Earth","Historical novel",Silkeborg,2005-05-15,55
"Fire: From A Journal of Love",Memoir,"Nykøbing Falster",2005-10-20,81
"Stiff Upper Lip, Jeeves","Comic novel","Nykøbing Falster",2005-06-16,34
"Mirette on the High Wire","Picture book",Ribe,2005-07-18,100
"The Nest of the Sparrowhawk","Historical novel",Maribo,2005-04-12,80
"The Big Time","Science Fiction","Holbæk",2005-02-15,75
"Casper the Commuting Cat",Biography,Aabenraa,2005-03-21,64
"Lord of the Shadows","Young adult literature","Tønder",2005-12-01,97
"The Go-Giver",Self-help,Haderslev,2005-09-27,58
"Le lieutenant de Kouta",Novel,Ribe,2005-01-29,51
"Duty and Desire","Historical fiction","Sønderborg",2005-04-09,45
"Cocaine Nights","Science Fiction",Vejle,2005-11-02,41
"Their Dogs Came with Them",Novel,Frederiksberg,2005-07-10,87
"Ghoul Trouble","Children's literature","Holbæk",2005-09-14,77
"The Black Rose","Historical novel",Skive,2005-09-26,87
"Battles of the Clans","Children's literature",Thisted,2005-01-20,37
"Galatea 2.2","Autobiographical novel",Horsens,2005-08-26,78
Stone,"Science Fiction","Nørresundby",2005-04-12,7
"Gone Tomorrow",Thriller,"Sønderborg",2005-07-07,16
"Wizards at War","Speculative fiction","Sønderborg",2005-12-30,88
"Sufferings in Africa: The Incredible True Story of a Shipwreck, Enslavement, and Survival on the Sahara",Non-fiction,Horsens,2005-11-06,40
Georges,"Romance novel","Tønder",2005-05-15,66
"The Stone Dogs","Alternate history","Nørresundby",2005-10-11,99
Cross,Thriller,"Sorø",2005-12-28,81
"The Demon's Lexicon",Fiction,Skive,2005-06-01,92
"Balzac and the Little Chinese Seamstress","Autobiographical novel",Aalborg,2005-08-11,97
"Close to Critical","Science Fiction",Thisted,2005-03-09,88
"Friday's Child","Regency romance",Roskilde,2005-09-08,73
"The Macdermots of Ballycloran",Fiction,Kolding,2005-04-04,45
"The House of the Sleeping Beauties",Novella,Copenhagen,2005-02-14,40
"Moreta: Dragonlady of Pern","Science Fiction","Helsingør",2005-05-05,93
"Bastard Out of Carolina",Fiction,Herning,2005-11-29,46
"The Phantom of Manhattan",Thriller,Gentofte,2005-01-12,81
"The Club Dumas","Crime Fiction",Viborg,2005-09-21,60
"Alien Bodies","Speculative fiction",Frederikshavn,2005-12-12,95
"Touch Me","Young adult literature",Aarhus,2005-04-29,33
"The House of the Sleeping Beauties",Novella,Slagelse,2005-09-01,39
"The Brides of March","Creative nonfiction",Aarhus,2005-08-18,72
"The Mitfords: Letters Between Six Sisters",Anthology,Kalundborg,2005-03-10,68
"The Quantum Thief","Science Fiction",Skagen,2005-12-13,100
"Fields of Sleep",Fantasy,"Sorø",2005-08-30,82
"Le Fait du prince",Novel,"Køge",2005-09-05,24
"The Damnation of Theron Ware",Fiction,Aarhus,2005-05-01,5
"Exiles to Glory","Science Fiction",Holstebro,2005-05-12,100
"Queen of the Spiders","Role-playing game",Skagen,2005-04-05,87
"Ciske de Rat","Children's literature",Silkeborg,2005-10-24,18
"Blue at the Mizzen",Fiction,Svendborg,2005-09-03,52
Andromeda,"Science Fiction","Køge",2005-11-07,74
"The Bride of Newgate","Detective fiction",Aalborg,2005-05-22,86
"Kobayashi Maru","Science Fiction",Skagen,2005-08-07,52
"A Graveyard to Let",Mystery,"Hjørring",2005-01-31,63
"The Ethnic Cleansing of Palestine",History,Copenhagen,2005-04-10,38
"Hygiene and the Assassin",Novel,Slagelse,2005-07-21,19
"Wyatt's Hurricane",Thriller,Odense,2005-08-02,7
"The Sky Phantom",Mystery,Herning,2005-05-21,31
Rollback,"Science Fiction",Skagen,2005-10-14,72
"How to Eat a Small Country",Non-fiction,Nyborg,2005-08-29,27
"Mr. Palomar","Speculative fiction",Fredericia,2005-08-08,78
"The Blue Man",Mystery,Aalborg,2005-08-20,41
"Ashes and Diamonds",Novel,"Hjørring",2005-05-31,38
"The Outsiders","Children's literature",Aarhus,2005-02-17,81
"Vengeance in Death","Crime Fiction",Slagelse,2005-12-22,9
"The Black Circle","Children's literature",Ribe,2005-06-09,40
"Rebecca's Tale",Mystery,"Tønder",2005-10-30,25
"Drop Dead Beautiful",Fiction,Skagen,2005-08-01,43
"My Uncle Oswald","Speculative fiction",Vordingborg,2005-01-14,12
"The House of the Sleeping Beauties",Novella,Silkeborg,2005-11-07,18
Herzog,Fiction,Copenhagen,2005-11-20,96
"Undead and Unwelcome",Mystery,Herning,2005-08-14,13
"Dead Man's Folly","Crime Fiction",Roskilde,2005-06-16,70
"Godfrey Morgan","Adventure novel",Aabenraa,2005-05-07,78
Accident,"Romance novel",Aarhus,2005-02-21,28
"The Warriors","Crime Fiction",Esbjerg,2005-01-20,28
"The Wounded Land","Science Fiction",Aarhus,2005-08-29,88
"Sting of the Zygons","Speculative fiction",Haderslev,2005-07-29,88
"The Starless World","Science Fiction",Viborg,2005-03-02,17
"Tai-Pan: A Novel of Hong Kong","Historical fiction",Svendborg,2005-09-02,79
"Conan the Defender","Sword and sorcery",Haderslev,2005-01-05,46
"Fade to Black",Mystery,Herning,2005-01-31,44
Sweetblood,"Speculative fiction",Frederiksberg,2005-05-22,46
Annihilation,"Science Fiction",Fredericia,2005-04-09,69
Fer-de-Lance,Mystery,Slagelse,2005-04-02,85
"Joshua Then and Now","Autobiographical novel",Viborg,2005-01-19,81
"Dawn Undercover","Children's literature","Nykøbing Falster",2005-03-04,59
"The Woman Warrior",Autobiography,"Nykøbing Falster",2005-11-09,16
"City of Thieves",Gamebook,Nyborg,2005-02-28,51
"Leonardo, the Terrible Monster","Picture book",Horsens,2005-09-09,51
"A Fatal Grace","Crime Fiction",Kalundborg,2005-05-01,60
"Crystal Mask","Science Fiction",Kalundborg,2005-09-18,91
"Simon the Coldheart","Historical fiction",Ribe,2005-08-24,56
"The Blade Itself","Crime Fiction","Helsingør",2005-03-27,39
Radiant,"Science Fiction",Copenhagen,2005-05-05,9
"Storm Rising","Speculative fiction",Aarhus,2005-11-18,23
"Night Thoughts of a Classical Physicist","Historical fiction",Maribo,2005-02-09,79
"Bloody Jack","Children's literature",Slagelse,2005-05-29,85
"A Land Remembered","Historical fiction","Sønderborg",2005-01-30,89
"The A-List","Children's literature",Kolding,2005-04-09,50
"Storming Heaven",Thriller,Nyborg,2005-12-23,28
"Only human",Fantasy,Holstebro,2005-06-18,50
"Murder at the Savoy","Crime Fiction",Gentofte,2005-03-19,46
"East Wind: West Wind",Novel,"Helsingør",2005-12-02,67
"Lee's Holiday Showdown","Children's literature",Fredericia,2005-03-20,86
"The Desert Spear",Fantasy,Holstebro,2005-02-17,42
"The Meaning of Night",Thriller,Holstebro,2005-09-13,68
